num,name,index,desc
54.01.17,Реставратор строительный,10,восстанавливает старинные здания сооружения предметы искусства мебель картины скульптуры фрески изучает анализирует старинные произведения искусства историю особенности советуется историками химиками экспертами выбрать лучшие материалы методы восстанавливает ремонтирует древние каменные стены деревянные элементы уникальные детали зданий воспроизводит восстанавливает оригинальные цвета узоры орнаменты воссоздает первоначальный картины фрески здания проводит исследования находит способы защиты произведений искусства разрушительного воздействия окружающей среды городе старинное здание реставратору поручают восстановить первоначальный специалист изучит историю здания соберет доступные сведения архитектуре начнет реставрацию используя специальные инструменты материалы какая-то здания повреждена испорчена реставратор займется восстановлением исторической точности внимательно деталями сохранить уникальные элементы здания результате старинное здание выглядеть построено
54.01.19,Реставратор памятников каменного и деревянного зодчества,11,восстанавливает старинные здания сооружения предметы искусства мебель картины скульптуры фрески изучает анализирует старинные произведения искусства историю особенности советуется историками химиками экспертами выбрать лучшие материалы методы восстанавливает ремонтирует древние каменные стены деревянные элементы уникальные детали зданий воспроизводит восстанавливает оригинальные цвета узоры орнаменты воссоздает первоначальный картины фрески здания проводит исследования находит способы защиты произведений искусства разрушительного воздействия окружающей среды городе старинное здание реставратору поручают восстановить первоначальный специалист изучит историю здания соберет доступные сведения архитектуре начнет реставрацию используя специальные инструменты материалы какая-то здания повреждена испорчена реставратор займется восстановлением исторической точности внимательно деталями сохранить уникальные элементы здания результате старинное здание выглядеть построено
07.03.01,Архитектура,12,восстанавливает старинные здания сооружения предметы искусства мебель картины скульптуры фрески изучает анализирует старинные произведения искусства историю особенности советуется историками химиками экспертами выбрать лучшие материалы методы восстанавливает ремонтирует древние каменные стены деревянные элементы уникальные детали зданий воспроизводит восстанавливает оригинальные цвета узоры орнаменты воссоздает первоначальный картины фрески здания проводит исследования находит способы защиты произведений искусства разрушительного воздействия окружающей среды городе старинное здание реставратору поручают восстановить первоначальный специалист изучит историю здания соберет доступные сведения архитектуре начнет реставрацию используя специальные инструменты материалы какая-то здания повреждена испорчена реставратор займется восстановлением исторической точности внимательно деталями сохранить уникальные элементы здания результате старинное здание выглядеть построено
07.03.02,Реконструкция и реставрация архитектурного наследия,13,восстанавливает старинные здания сооружения предметы искусства мебель картины скульптуры фрески изучает анализирует старинные произведения искусства историю особенности советуется историками химиками экспертами выбрать лучшие материалы методы восстанавливает ремонтирует древние каменные стены деревянные элементы уникальные детали зданий воспроизводит восстанавливает оригинальные цвета узоры орнаменты воссоздает первоначальный картины фрески здания проводит исследования находит способы защиты произведений искусства разрушительного воздействия окружающей среды городе старинное здание реставратору поручают восстановить первоначальный специалист изучит историю здания соберет доступные сведения архитектуре начнет реставрацию используя специальные инструменты материалы какая-то здания повреждена испорчена реставратор займется восстановлением исторической точности внимательно деталями сохранить уникальные элементы здания результате старинное здание выглядеть построено
54.03.04,Реставрация,14,восстанавливает старинные здания сооружения предметы искусства мебель картины скульптуры фрески изучает анализирует старинные произведения искусства историю особенности советуется историками химиками экспертами выбрать лучшие материалы методы восстанавливает ремонтирует древние каменные стены деревянные элементы уникальные детали зданий воспроизводит восстанавливает оригинальные цвета узоры орнаменты воссоздает первоначальный картины фрески здания проводит исследования находит способы защиты произведений искусства разрушительного воздействия окружающей среды городе старинное здание реставратору поручают восстановить первоначальный специалист изучит историю здания соберет доступные сведения архитектуре начнет реставрацию используя специальные инструменты материалы какая-то здания повреждена испорчена реставратор займется восстановлением исторической точности внимательно деталями сохранить уникальные элементы здания результате старинное здание выглядеть построено
54.05.02,Живопись,15,восстанавливает старинные здания сооружения предметы искусства мебель картины скульптуры фрески изучает анализирует старинные произведения искусства историю особенности советуется историками химиками экспертами выбрать лучшие материалы методы восстанавливает ремонтирует древние каменные стены деревянные элементы уникальные детали зданий воспроизводит восстанавливает оригинальные цвета узоры орнаменты воссоздает первоначальный картины фрески здания проводит исследования находит способы защиты произведений искусства разрушительного воздействия окружающей среды городе старинное здание реставратору поручают восстановить первоначальный специалист изучит историю здания соберет доступные сведения архитектуре начнет реставрацию используя специальные инструменты материалы какая-то здания повреждена испорчена реставратор займется восстановлением исторической точности внимательно деталями сохранить уникальные элементы здания результате старинное здание выглядеть построено
23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,16,ремонтирует строительную технику ремонтирует строительные машины проводит техническое обслуживание машин предотвращает поломки заменяет старые детали новые совершенствует работу машин стройплощадке экскаватора сломался ковш оператор машины свяжется слесарем строительных машин специалист приедет стройку инструментами запасными деталями разберет ковш деталь сломалась заменит новую соберет ковш обратно проверит исправно работает ремонтирует обслуживает автомобили проверяет работу двигателя меняет масло фильтры диагностирует неисправности машинах устраняет меняет детали запчасти вышли строя обслуживает тормозную систему рулевое управление семьей готовитесь долгому путешествию автомобиле поездки автомобиль сломался отправить проверку автомеханику специалист быстро проведет диагностику помощью специальных приборов сканеров автомеханик найдет неисправности устранит автомобиле безопасно ездить специалист особенности каждой марки машины подбирает ремонта необходимые запчасти следит техническим состоянием автотранспорта автопарке отвечает автосервисе организует техническое обслуживание автомобилей автопарке разрабатывает схемы графики движения автотранспортных средств проводит мероприятия обновлению состава автомобилей автобусов грузовиков фур разрабатывает стандарты правила проведению технического обслуживания ремонта автомобилей работает экспедиторами организовать доставку товаров городе организовать движение автобусов инженер обслуживанию автотранспорта составляет график движения автобусов разрабатывает оптимальный маршрут учитывает движения транспортные средства приходили опозданий инженер следит автопарк хорошем техническом проверяет автобусы работают исправно ломаются организует инженер обслуживанию заботится автопарк современным безопасным следит старые автобусы вовремя заменяли новые
23.02.04,"Техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудования (по отраслям)",17,ремонтирует строительную технику ремонтирует строительные машины проводит техническое обслуживание машин предотвращает поломки заменяет старые детали новые совершенствует работу машин стройплощадке экскаватора сломался ковш оператор машины свяжется слесарем строительных машин специалист приедет стройку инструментами запасными деталями разберет ковш деталь сломалась заменит новую соберет ковш обратно проверит исправно работает
23.02.07,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",18,ремонтирует строительную технику ремонтирует строительные машины проводит техническое обслуживание машин предотвращает поломки заменяет старые детали новые совершенствует работу машин стройплощадке экскаватора сломался ковш оператор машины свяжется слесарем строительных машин специалист приедет стройку инструментами запасными деталями разберет ковш деталь сломалась заменит новую соберет ковш обратно проверит исправно работает ремонтирует обслуживает автомобили проверяет работу двигателя меняет масло фильтры диагностирует неисправности машинах устраняет меняет детали запчасти вышли строя обслуживает тормозную систему рулевое управление семьей готовитесь долгому путешествию автомобиле поездки автомобиль сломался отправить проверку автомеханику специалист быстро проведет диагностику помощью специальных приборов сканеров автомеханик найдет неисправности устранит автомобиле безопасно ездить специалист особенности каждой марки машины подбирает ремонта необходимые запчасти
23.01.08,Слесарь по ремонту строительных машин,19,ремонтирует строительную технику ремонтирует строительные машины проводит техническое обслуживание машин предотвращает поломки заменяет старые детали новые совершенствует работу машин стройплощадке экскаватора сломался ковш оператор машины свяжется слесарем строительных машин специалист приедет стройку инструментами запасными деталями разберет ковш деталь сломалась заменит новую соберет ковш обратно проверит исправно работает
08.01.26,Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства,20,устанавливает обслуживает системы водоснабжения канализации отопления соединяет трубы создает систему водоснабжения канализации устанавливает сантехнику раковины унитазы душевые кабины регулирует проверяет систему отопления комфортную температуру помещении отслеживает устраняет утечки поломки системах новом здании установить систему водоснабжения канализации монтажник санитарно-технических систем оборудования изучит схему водоснабжения канализации здания уложит трубы соединит вмонтирует вентили установит сантехнические приборы раковины краны унитазы проверит систему отсутствие протечек готово монтажник предоставит заказчику отчет проделанной работе
08.01.14,"Монтажник санитарно-технических, вентиляционных систем и оборудования",21,устанавливает обслуживает системы водоснабжения канализации отопления соединяет трубы создает систему водоснабжения канализации устанавливает сантехнику раковины унитазы душевые кабины регулирует проверяет систему отопления комфортную температуру помещении отслеживает устраняет утечки поломки системах новом здании установить систему водоснабжения канализации монтажник санитарно-технических систем оборудования изучит схему водоснабжения канализации здания уложит трубы соединит вмонтирует вентили установит сантехнические приборы раковины краны унитазы проверит систему отсутствие протечек готово монтажник предоставит заказчику отчет проделанной работе
08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",22,устанавливает обслуживает системы водоснабжения канализации отопления соединяет трубы создает систему водоснабжения канализации устанавливает сантехнику раковины унитазы душевые кабины регулирует проверяет систему отопления комфортную температуру помещении отслеживает устраняет утечки поломки системах новом здании установить систему водоснабжения канализации монтажник санитарно-технических систем оборудования изучит схему водоснабжения канализации здания уложит трубы соединит вмонтирует вентили установит сантехнические приборы раковины краны унитазы проверит систему отсутствие протечек готово монтажник предоставит заказчику отчет проделанной работе
08.01.10,Мастер жилищно-коммунального хозяйства,23,устанавливает обслуживает системы водоснабжения канализации отопления соединяет трубы создает систему водоснабжения канализации устанавливает сантехнику раковины унитазы душевые кабины регулирует проверяет систему отопления комфортную температуру помещении отслеживает устраняет утечки поломки системах новом здании установить систему водоснабжения канализации монтажник санитарно-технических систем оборудования изучит схему водоснабжения канализации здания уложит трубы соединит вмонтирует вентили установит сантехнические приборы раковины краны унитазы проверит систему отсутствие протечек готово монтажник предоставит заказчику отчет проделанной работе
08.01.29,Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства,24,устанавливает обслуживает системы водоснабжения канализации отопления соединяет трубы создает систему водоснабжения канализации устанавливает сантехнику раковины унитазы душевые кабины регулирует проверяет систему отопления комфортную температуру помещении отслеживает устраняет утечки поломки системах новом здании установить систему водоснабжения канализации монтажник санитарно-технических систем оборудования изучит схему водоснабжения канализации здания уложит трубы соединит вмонтирует вентили установит сантехнические приборы раковины краны унитазы проверит систему отсутствие протечек готово монтажник предоставит заказчику отчет проделанной работе
23.05.02,Транспортные средства специального назначения,25,защищает граждан территории внутренних внешних угроз оценивает военно-политическую ситуацию прогнозирует вооруженные конфликты выполняет приказы командира командует ротой работает разных направлениях защита границ техническое обслуживание военной техники лечение реабилитация раненых солдат мирное военнослужащий тренирует людей военной организации поддерживает технику готовности регулярно занимается полигоне оттачивает навыки использования разного оружия взаимодействия команде условиях военного выполняет боевые военнослужащие имеют разные права обязанности зависимости рода войск звания занимаемой должности преподавателями военных институтах оборонных стратегически важных предприятиях проектирует налаживает ремонтирует механическое оборудование производстве ремонтирует оборудование механизмы сломался конвейер заводе инженер источник поломки разобрать прибор снять сломанную деталь измерить чертеж новую налаживает настраивает механические машины инструменты работали правильно сбоев экспертную оценку состояния текущего оборудования порекомендовать закупке большом заводе производят автомобили инженер-механик производстве настраивает механизмы используются производственной линии планирует разные детали автомобили собирались быстро качественно оборудование установлено инженер-механик следит работой ломалось работало исправно перестает специалист устраняет поломку постоянно ищет способы улучшения оборудования производство эффективнее следит техническим состоянием автотранспорта автопарке отвечает автосервисе организует техническое обслуживание автомобилей автопарке разрабатывает схемы графики движения автотранспортных средств проводит мероприятия обновлению состава автомобилей автобусов грузовиков фур разрабатывает стандарты правила проведению технического обслуживания ремонта автомобилей работает экспедиторами организовать доставку товаров городе организовать движение автобусов инженер обслуживанию автотранспорта составляет график движения автобусов разрабатывает оптимальный маршрут учитывает движения транспортные средства приходили опозданий инженер следит автопарк хорошем техническом проверяет автобусы работают исправно ломаются организует инженер обслуживанию заботится автопарк современным безопасным следит старые автобусы вовремя заменяли новые
